prov_id,area_id,user_id,chnl_type,service_type,product_type,innet_months,total_times,total_flux,total_fee,pay_fee,sex,age,manu_name,term_type,max_rat_flag,is_5g_base_cover,is_work_5g_cover,is_home_5g_cover,is_work_5g_cover_l01,is_home_5g_cover_l01,is_work_5g_cover_l02,is_home_5g_cover_l02,activity_type,is_act_expire,comp_type,call_days,re_call10,short_call10,long_call10,bank_cnt,active_days01,active_days02,active_days03,active_days04,active_days05,active_days06,active_days07,active_days08,active_days09,active_days10,active_days11,active_days12,active_days13,active_days14,active_days15,active_days16,active_days17,active_days18,active_days19,active_days20,active_days21,active_days22,active_days23,game_app_flux,live_app_flux,video_app_flux,city_5g_ratio,city_level,is_5g
89,V0650500,b781214ce801755ccb05dedbdb4a6a91,7,4,2,60,1.11260969,9.522604936,62,370,0,27,3,4,4,0,0,0,0,0,0,0,9,3,1,29.875,4.875,7,1.875,0.625,0,0,0,0,0,0,0,0,1,0,5,3,0,0,0,0,0,0,1,0,2,0,0,0,0,1702.641807,0.000124222,7,0
71,V0422400,a19bf531c073c927d06df8c85e55e944,9,4,3,24,0.396394181,9.409874646,54.66666667,311.24,1,29,5,4,4,0,0,0,0,0,0,0,4,1,1,19.375,2.625,5.25,0.625,1.375,28,0,0,0,10,21,0,7,13,0,30,30,0,0,0,13,0,0,4,24,15,14,0,0,0,20.8777523,0.000276195,7,0
51,V0440100,7e472959f1233f32933d62f405e858b3,9,4,3,29,0.448172435,8.957370358,73,430,1,39,2,4,4,1,1,1,0,1,1,1,4,1,1,12.75,1.875,1,0.75,0,27,1,2,0,0,0,0,1,0,0,30,30,0,0,1,9,2,0,28,23,0,6,4,0,0,645.1931906,0.002355841,1,0
91,V0210200,7d3eed556d55c107ec69580348129a07,9,4,3,25,2.155313667,10.48629242,115.95,695.33,0,41,2,4,4,1,0,1,0,0,0,0,4,1,2,14.75,0.375,8.25,16.25,16,28,0,0,0,0,0,0,0,3,0,28,26,0,0,0,1,3,0,28,26,0,17,0,0,3.168888092,6933.384136,0.000200527,3,0
81,V0513400,32fd5114cf607d989bacf1818bb27992,7,4,3,9,0.878761918,9.56878615,64.73333333,420,0,42,3,4,4,1,1,1,0,1,1,1,4,1,1,25,1,3.375,5.125,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,1,0,0,0,25,22,4,0,1,0,0,4150.987753,0.000512002,7,0
17,V0370200,7c497fc527608639abb11cd5c8ec5548,10,4,5,84,0.099589455,8.148982256,76.05,672.3,1,57,8,4,4,1,1,1,1,1,1,1,1,3,4,12.375,8.875,6,0.375,13.25,21,0,0,0,0,0,0,9,0,0,29,21,0,0,0,0,0,0,24,23,0,5,6,0,0.588906288,0.007457733,0.000142838,3,0
19,V0140100,374b8478847f23c589fe716e83a09215,9,4,4,60,1.694396541,9.992840448,225.7833333,920,1,24,4,4,4,1,0,0,0,0,1,0,4,1,2,29.25,83.75,12.125,4.125,40.5,12,0,0,0,0,0,0,9,5,0,30,29,0,0,1,0,3,0,25,1,11,1,0,0,13.08546448,5806.211493,0.000195612,5,1
18,V0131000,93b569b8ad895f466d7c05c899fae118,7,4,5,63,0.066663707,6.271726061,58.05,250,1,44,2,4,4,0,0,0,0,0,0,0,4,1,1,6.142857143,2,1,0,0,6,0,0,0,0,0,0,0,2,0,11,4,0,0,0,0,0,0,1,0,0,0,0,0,0,51.6936121,2.91E-05,7,0
74,V0430500,19ae419e9a48a9df699f81eea0e1e056,7,4,6,62,2.912906635,3.074364449,78.83333333,190,1,49,3,4,4,0,0,0,0,0,0,0,4,1,1,30,157.375,31.625,3.75,3.875,8,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011202,7,0
51,V0440100,dc13d175adc6e061c5fb9b89688fb988,7,4,2,6,0.462622327,8.761334111,59.16,730,1,41,3,4,4,0,0,0,0,0,0,0,14,3,2,12.85714286,18,0.857142857,3.857142857,0,28,1,0,0,0,0,0,1,0,0,30,30,0,0,4,0,0,0,5,13,0,2,0,0,0,57.70039368,0.002355841,1,0
84,V0610100,5291358c3e996d2e93a68b65c9c6a70e,9,4,3,36,0.488118164,9.968156133,74.26666667,420,0,23,5,4,4,0,0,0,0,0,0,0,4,1,1,19.5,6.625,4.75,1.625,23.875,0,1,0,0,0,0,0,0,0,0,30,30,0,0,0,0,20,1,20,0,1,0,0,0,0.062948227,1940.252956,0.000328096,2,0
76,V0412801,a0c3899ed2858cecf7647403dfc349eb,7,4,4,20,0.494112331,9.314480761,59.12833333,910,1,29,6,4,4,0,0,0,0,0,0,0,3,2,6,23.125,3.625,2.125,2.375,1.5,6,0,0,0,0,0,0,0,1,0,30,30,0,0,0,0,1,0,26,10,5,0,0,0,0.000382423,1350.722305,0.0001315,7,0
74,V0432500,ad84df96eb69e6652cd0ff78dfbeb02e,10,4,5,73,0.391103174,7.371044317,68,440,1,60,12,4,4,0,0,0,0,0,0,0,4,1,1,26.875,38.5,5.5,0.5,0,5,0,0,0,1,0,0,0,1,0,30,30,0,0,0,0,0,0,10,2,4,0,1,0,0.004410744,95.16559792,0.000110814,7,0
70,V0630100,e84aa94506f5c8589264f7895751bf8a,10,4,4,82,0.932269909,9.299356297,62.98333333,450,1,37,3,4,4,0,0,0,0,0,0,0,4,1,1,22.125,7.25,2.375,9.25,22.75,2,0,0,0,0,0,0,0,0,0,30,25,0,0,0,0,0,0,22,24,6,1,0,0,0.003617287,1865.934718,0.000118448,4,0
30,V0340600,0f1eeb99d6fb8346b4f71ea545604839,9,4,3,23,0.068083776,10.15378877,67.1,440,1,23,6,4,4,0,0,0,0,0,0,0,4,1,1,12.625,2,9.5,0,0.375,30,1,0,0,0,0,0,0,2,0,30,30,0,0,0,5,4,0,30,30,4,10,23,0,0.050990105,2495.77464,0.000156681,7,0
85,V0520100,1570484dba1f982ccb9f38a23808e98c,9,4,3,25,0.082586441,10.85067959,78.98333333,500,1,21,6,4,4,1,1,1,1,1,1,1,4,1,1,8.285714286,2.714285714,1,0,26.71428571,22,1,0,0,0,0,0,2,7,0,30,30,0,0,1,6,2,0,30,30,10,25,0,0,6427.849238,13606.76002,0.000829997,6,0
51,V0441900,dbfae4a4ad4314779bd4935b42bece04,9,4,3,2,0.05253586,10.2662834,65.9,80,1,19,3,4,4,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0.375,30,0,0,0,10,0,0,5,1,0,30,30,0,0,0,3,4,0,30,30,28,29,23,0,323.5302305,20388.78321,0.000653892,6,0
51,V0441900,99d4b9183713a1ebe516be3cba351983,9,4,3,24,1.222188411,9.856633612,84.93333333,510,1,23,10,4,4,1,1,1,0,0,1,1,4,1,1,19.125,1.75,3.125,4.625,0,30,0,0,0,1,0,0,0,0,0,30,30,0,0,1,2,29,0,30,30,6,11,18,0,0,8782.243209,0.000653892,6,0
81,V0510500,38368c9cfa53b8aa325f1ba49c883b4b,9,4,3,22,0.437324904,10.67637282,66.71666667,400,0,18,6,4,4,0,0,0,0,0,0,0,4,1,1,22.375,17.25,6.5,3.25,0.25,3,0,0,0,0,0,0,0,0,0,26,20,0,0,0,0,7,0,23,12,13,0,0,0,0,10035.31954,0.000758196,7,0
51,V0440300,05fbe23183f8f0765446825265ca4267,7,4,2,90,0.263454367,9.720097018,99.5,700,0,28,2,4,4,0,0,0,0,0,0,0,4,1,1,17.5,3.25,1.75,0.5,48.875,20,0,0,0,9,0,0,0,15,0,30,30,0,0,11,2,11,0,30,29,5,7,5,0,0,54.55930424,0.003286666,1,0
81,V0513600,260bcf8b65bde514b5c43d3c694f8457,3,4,5,40,1.311150109,9.416614398,63.60833333,430,1,29,2,4,4,0,0,0,0,0,0,0,4,1,1,29,4,14,2.25,13.375,9,0,0,0,0,0,0,0,0,0,30,19,0,0,1,0,1,0,17,5,15,0,0,0,0,232.7642708,0.000182395,7,0
51,V0441900,a298b0d1a0036e9c8beeb5feb7864363,10,4,5,26,0.097775073,8.783071086,75.46333333,450,0,24,5,4,4,0,0,0,0,0,0,0,4,1,1,11.625,4.5,10.125,0,14.125,14,0,0,0,13,0,0,0,1,0,30,30,0,0,12,22,3,0,0,0,0,11,0,0,0,0,0.000653892,6,0
31,V0310000,db8d6c27094cd61de5285d93cadc5db9,9,4,3,32,0.338313697,10.15513465,62.38333333,360,1,32,6,4,4,1,0,0,1,1,0,1,4,1,1,8.142857143,0.714285714,3.571428571,4,9.142857143,30,0,0,0,0,0,0,1,0,0,30,30,0,0,0,0,4,0,30,30,2,26,1,0,0.000501633,0,0.001135951,1,0
34,V0320500,e623fe769312571d4d9839f247fe83b5,7,4,5,131,0.616682899,7.744236901,78,430,0,49,4,4,4,0,0,0,0,0,0,0,4,1,1,26,4.75,5.5,0.25,16.375,0,0,0,0,0,0,0,0,0,0,30,27,0,0,0,0,0,1,22,0,3,0,0,0,0.062960625,214.198204,0.000542176,2,0
76,V0412800,16048df33a554663daa9a5000e7825bf,7,4,2,11,0.051776839,7.954761683,54.7,750,0,29,3,4,4,0,0,0,0,0,0,0,14,3,6,6.142857143,0,1,0,0,21,0,0,0,0,0,1,0,0,0,29,22,0,0,0,4,3,0,26,22,7,0,5,0,0,760.0298796,6.93E-05,7,0
30,V0342100,758744b406f1483168397721891b209a,9,4,3,25,0.477896242,10.58119451,112.05,640,1,22,4,4,4,0,0,0,0,0,0,0,4,1,1,19.125,2.75,5,0.375,51.75,30,0,0,0,1,0,0,0,30,0,30,30,0,0,6,12,4,0,30,30,25,7,19,0,4369.887968,21613.0562,0.000164337,7,0
34,V0320881,96c5f4a8dd93ad497921e8eadc392c74,7,4,2,82,3.530507261,10.8530569,199,930,1,34,5,4,4,0,0,0,0,0,0,0,4,1,1,30.25,10,29.375,11.625,9,22,0,0,0,0,0,0,0,0,0,29,26,0,0,1,18,0,0,27,28,2,0,0,0,0.002418518,9078.15077,0.000114512,7,0
10,V0152600,aa4eda00b5742e54d9af6178d0d10696,10,4,5,30,2.071432728,8.297804994,62.68333333,147.33,0,56,3,4,4,0,0,0,0,0,0,0,4,1,1,29,16,8.857142857,9.428571429,0,1,0,0,0,0,0,0,0,0,0,29,20,0,0,0,1,0,0,27,15,5,0,0,0,0.408603668,1137.831112,3.99E-05,7,0
17,V0370900,681f12dafac4cf8a2ee192736477e80b,9,4,3,8,0.036092264,11.027202,53.7,401.68,1,23,6,4,4,1,1,1,1,1,1,1,4,1,1,6.625,0.375,1,0,0.625,30,1,0,0,6,0,0,4,0,0,30,30,4,0,12,12,2,0,30,30,24,30,2,0,0.22808075,16844.93413,2.40E-05,7,0
11,V0110000,47852926a2fa89a453b0f2a880baea16,10,4,2,5,0.012866423,6.256849308,52.88,0,1,43,2,4,4,1,1,1,1,1,1,1,4,1,6,1.428571429,0.285714286,0.285714286,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001014561,1,0
90,V0220100,798e9d0a8abf9f6b4230710c408faea4,7,4,5,42,1.885320187,6.664681794,91.5,1365,0,37,5,4,4,0,0,0,0,0,0,0,4,1,4,29.71428571,9.714285714,40.57142857,4.428571429,6.428571429,2,0,0,0,0,0,0,0,0,0,26,13,0,0,0,2,6,0,26,12,1,2,0,0,0,157.8753729,3.53E-05,6,0
30,V0340500,f163fabfa1c6e74b81523cd3f7488555,1,4,5,176,1.318301784,8.327148708,216.2166667,1350,1,40,5,4,4,0,0,0,0,0,0,0,4,1,2,21.25,7.375,19,0.5,21.25,30,0,0,0,0,0,0,0,0,0,30,30,20,0,0,2,0,0,14,23,24,1,0,0,326.9590139,213.661932,0.000209928,7,0
50,V0460100,4e22e650a321527446f8f01b4ae0cb9e,9,4,3,29,0.459785176,10.49465259,50.75,300,1,18,5,4,4,0,0,0,0,0,0,0,4,1,1,22.875,11.875,14.625,1.875,0.375,0,0,0,0,0,0,0,0,0,0,30,29,0,0,0,0,0,0,27,14,28,1,3,0,0,0,0.000344219,5,0
31,V0310000,1d5281362fd662302a9eb907a3f8cad1,7,4,2,96,0.357387763,9.475424336,99,600,1,34,5,4,4,1,1,0,0,0,1,0,3,3,1,10.14285714,3.714285714,3.285714286,1,36,30,0,0,0,14,0,0,0,19,1,30,30,0,0,15,30,8,0,16,19,29,1,0,0,0.034435272,1212.325106,0.001135951,1,0
83,V0500000,baa89e7f024ad67ceaaacee74f0b12c2,9,4,3,5,0.106236315,11.46927078,69.568,335,1,27,3,4,4,0,0,0,0,0,0,0,4,1,1,4,1,0.833333333,0.166666667,2.166666667,28,0,0,0,0,0,0,0,0,0,29,29,0,0,0,3,1,0,28,28,27,9,3,0,0.021679878,22008.09505,0.000269099,2,0
17,V0370600,f89e4122b6ce1ca486837b96b08027fe,1,4,2,88,2.027650435,9.08599547,52.43333333,1023.85,1,47,8,4,4,0,0,0,0,0,0,0,4,1,4,28.625,62.5,8.625,20.375,42,27,1,0,0,3,0,0,0,16,0,30,30,0,0,2,0,0,0,19,25,16,9,0,0,0,4734.117788,3.25E-05,5,0
91,V0211200,4bd47f5825f840bef9fbdc73b6ced373,9,4,3,26,0.094500284,9.850607481,71.73333333,430,1,44,3,4,4,0,0,0,0,0,0,0,4,1,1,5,0.375,0.875,0.125,2.625,30,0,11,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,11,30,24,7,5,0,0.000394821,226.8318291,8.64E-05,7,0
36,V0330700,da0833ae3860d477a473c160b2ee6ad5,9,4,2,24,0.270436081,10.40940561,104.1166667,610,1,21,5,4,4,1,1,0,0,0,1,0,4,1,1,9.5,0.125,1.625,1,2.75,8,0,0,0,0,0,0,0,30,0,30,30,4,0,4,9,5,0,30,30,7,1,2,0,205.1335888,15497.1186,0.000407397,5,0
74,V0431200,9381318b37bff277339d3f422ba37c39,9,4,3,33,0.146051887,11.60852977,144.7333333,850,1,28,3,4,4,0,0,0,0,0,0,0,4,1,1,11.125,0.25,1.625,0.375,25.625,30,0,0,0,0,0,0,14,7,0,30,30,0,0,1,1,3,0,30,30,23,11,22,0,0.086587906,33726.26477,0.000295636,7,0
76,V0412300,465357892525b9595637a05ce8675e89,7,4,5,28,0.317937197,7.212694215,50.08333333,360,0,29,2,4,4,0,0,0,0,0,0,0,4,1,1,20.625,21.375,2.625,2.5,5.875,20,0,0,0,0,0,0,0,0,0,27,25,0,0,0,0,1,0,23,16,0,0,0,0,0.000471115,0.393576622,7.87E-05,7,0
34,V0320881,02ff1f8e7d07cef85797b4868c00b029,7,4,5,71,2.733023559,10.49938453,158,1040,1,28,5,4,4,0,0,0,0,0,0,0,9,2,1,29.75,5.625,21.875,6.875,61.25,22,0,0,0,0,0,0,0,3,0,30,30,0,0,0,2,1,0,22,27,23,0,0,0,1529.523762,9044.338692,0.000114512,7,0
36,V0330100,4b93b7e1dbe5c96a98733fd8a45a1e4a,9,4,3,9,0.076921715,11.20194642,83.68333333,560,1,21,3,4,4,0,0,0,0,0,0,0,4,1,1,9.625,0.875,2.875,0.125,4.125,30,0,0,0,0,0,0,1,0,0,30,30,0,0,6,26,8,0,30,30,24,24,2,0,0.217187881,43506.84377,0.000325886,2,0
34,V0320700,50a3a2f60b92f5bbd5fba58611625ec2,10,4,5,44,0.109628316,8.934422806,58,330,0,29,3,4,4,0,0,0,0,0,0,0,12,3,1,7.5,0.625,0.625,0,7.25,4,0,0,0,0,0,1,0,4,0,30,27,0,0,0,0,2,0,21,23,21,0,0,0,0,0,0.000123302,7,0
34,V0320400,b892c2e0ae1baf04b0d2e31515e24c7b,7,4,5,96,1.515589605,4.775678978,185.295,1401.33,0,33,2,4,4,0,0,0,0,0,0,0,3,3,1,26.5,4.625,5.875,1.875,77.5,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000196165,6,0
76,V0410100,4287dc58eb66ee5f5da3416287e2ab35,4,4,4,2,0.028923795,0.151932794,54.83,200,0,22,2,4,4,1,1,1,1,1,1,1,3,3,6,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,2,0,0,0,0,0,0,1,0,0,0,0,0,0.000195503,0,0.00049,3,0
34,V0320300,3f2e56c33a596c51d77522c6dd12f091,7,4,5,34,2.361941959,9.603755053,56.72666667,400,0,35,3,4,4,0,0,0,0,0,0,0,4,1,1,29.875,54.25,23.875,1.125,0,1,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,1,0,30,5,1,0,0,0,0,347.6411514,0.000143278,5,0
97,V0230600,f88ab9d3471f8de1c9347442c370ef65,7,4,3,7,1.867048176,9.810626641,104.4166667,580,1,19,3,4,4,1,0,0,0,0,1,1,4,1,1,21,9.875,36.75,3.375,22.25,30,0,0,0,0,0,0,0,3,0,30,30,0,0,0,4,0,0,30,20,18,29,16,0,13.04496861,4935.037044,2.98E-05,7,0
34,V0320500,a9496ccfab04cb463b810d20157ed7d7,7,4,3,17,0.69008429,10.37326342,82.83333333,670,1,28,5,4,4,0,0,0,0,0,0,0,4,1,2,24.5,2.75,7,4.625,7.25,6,0,0,0,0,0,0,0,29,0,30,30,0,0,0,0,0,1,29,25,0,0,0,0,0.113884926,17321.64066,0.000542176,2,0
17,V0370300,a6344e5ec37be47787dbca03529a3bdc,4,4,4,28,0.431553428,8.464060969,94.33333333,2085,1,51,12,4,4,0,0,0,0,0,0,0,3,3,4,22.5,17.5,3.125,4.625,7.75,27,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,27,27,0,11,1,0,0,3845.637116,1.91E-05,4,0
76,V0411000,6f254ac1e0fa7ba4ae4e2c5c84f8f29d,7,4,2,17,0.196973843,8.940212727,54.17,864,0,36,2,4,4,0,0,0,0,0,0,0,3,3,6,21.125,8.5,5.125,0,0.875,8,0,0,0,0,0,0,2,0,0,28,25,0,0,0,0,0,0,17,14,5,0,0,0,0,4224.810276,0.000102909,7,0
89,V0653101,2abfa45806549d55c8504c3ab390b3e1,7,4,4,109,0.828519662,10.62357065,53.33333333,190,1,34,4,4,4,0,0,0,0,0,0,0,4,1,1,28.5,6,14.125,2.625,0,0,0,0,0,0,0,0,1,0,0,30,29,0,0,0,0,0,0,12,15,3,0,0,0,0.001732826,1205.775159,6.76E-05,7,0
51,V0441900,9da22deef58dcba7aa995843a0ef66e9,9,4,3,26,1.144114286,10.15548336,60.21666667,300,0,25,4,4,4,0,0,0,0,0,0,0,4,1,1,18,29.125,12.25,8.5,0,30,0,0,0,2,0,0,4,6,0,30,30,0,0,4,2,1,0,30,29,29,30,29,0,0,12525.29747,0.000653892,6,0
50,V0460100,bfe19f7030f3f157ea4586b0b32210dd,7,4,2,150,0.667671753,9.599327601,88.66666667,1140,0,40,2,4,4,0,0,0,0,0,0,0,3,3,1,24.125,3.5,9.25,2.75,33.125,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,3,0,30,0,2,0,0,0,0,0,0.000344219,5,0
91,V0210800,ecabf8971b1fb69f0d6a24ad964e5168,7,4,3,12,1.468974295,8.773367231,55.16666667,200,1,37,2,4,4,0,0,0,0,0,0,0,4,1,1,13.83333333,0.333333333,1.166666667,20.5,0,6,0,0,0,0,0,0,9,1,0,17,17,0,0,0,0,0,0,17,1,0,1,0,0,0,5638.584739,0.000121396,7,0
